Summary,Issue Type,Priority,Story Points,Epic Link,Labels,Description,Acceptance Criteria,Depends On,Blocks
"Extend packages/config with Supabase environment schemas","Task","High","2","EMX-EPIC-AUTH","config, zod","Extend existing Zod env validation in `packages/config` for all Supabase and auth-related variables per service.","- [ ] `auth-service-env.ts` includes: `SUPABASE_URL`, `SUPABASE_SERVICE_ROLE_KEY`, `SUPABASE_JWT_SECRET`, `REDIS_URL` - [ ] `api-gateway-env.ts` includes: `SUPABASE_URL`, `SUPABASE_ANON_KEY`, `SUPABASE_JWT_SECRET`, `REDIS_URL`, `AUTH_SERVICE_URL` - [ ] Fail-fast on missing/invalid env at bootstrap - [ ] `infra/docker/.env.example` lists all keys with descriptions - [ ] No secrets in example file","EMX-AUTH-003","EMX-AUTH-010, EMX-AUTH-013"
"Create packages/auth with JWT utilities and shared types","Story","High","5","EMX-EPIC-AUTH","jwt, shared-package","Shared auth utilities for gateway and auth-service: JWT verification (JWKS or secret), typed `AuthUser` context, error types, and claim parsing. Single implementation — no copy-paste between services.","- [ ] `packages/auth/` exported API:   - `verifyAccessToken(token, config): Promise<AuthUser>`   - `AuthUser` type: `userId`, `email`, `tenantId?`, `role?`   - `AuthError` discriminated union (expired, invalid, missing) - [ ] Supports Supabase JWT structure (`sub`, `email`, custom claims) - [ ] Unit tests for token parsing edge cases - [ ] Used by both api-gateway and auth-service","EMX-AUTH-011","EMX-AUTH-013, EMX-AUTH-018, EMX-AUTH-022"
"JWT verification and auth context middleware","Story","Highest","5","EMX-EPIC-AUTH","fastify, auth-service, jwt","Implement Fastify auth plugin in `auth-service` using `@emx/auth`. Attach verified user to request context. Reject missing/invalid tokens on protected routes.","- [ ] `infrastructure/http/plugins/auth-plugin.ts` validates `Authorization: Bearer <token>` - [ ] `request.user` typed as `AuthUser` on authenticated routes - [ ] 401 for missing token; 401 for expired; 403 only when identity known but forbidden - [ ] Public routes: `/health`, auth callbacks (if any) skip plugin - [ ] Structured logs include `userId` without logging raw tokens - [ ] Follows clean architecture: plugin in infrastructure, no business logic in plugin","EMX-AUTH-012, EMX-AUTH-010","EMX-AUTH-014–017, EMX-AUTH-018"
"Sign-up and login API strategy and endpoints","Story","High","8","EMX-EPIC-AUTH","auth-service, rest-api","Define and implement auth entrypoint strategy. **Recommended:** client uses Supabase SDK for sign-up/login; auth-service exposes complementary REST endpoints for server-side flows, profile bootstrap verification, and mobile BFF if needed.","- [ ] ADR documented: client-direct vs BFF auth flow (decision recorded in ticket folder or `docs/`) - [ ] If BFF: `POST /v1/auth/signup`, `POST /v1/auth/login` with Zod validation - [ ] If client-direct: `POST /v1/auth/sync-profile` after Supabase signup (idempotent) - [ ] All routes versioned under `/v1` - [ ] Input validated via `@emx/validation` Zod schemas - [ ] Errors return consistent shape `{ code, message }` — no internal leaks - [ ] Routes delegate to `application/use-cases/` — not inline in route handlers","EMX-AUTH-007, EMX-AUTH-006, EMX-AUTH-013","EMX-AUTH-026, EMX-AUTH-030"
"GET /v1/me — current user profile","Story","High","3","EMX-EPIC-AUTH","auth-service, rest-api","Protected endpoint returning the authenticated user's profile and membership summary from Postgres via repository layer.","- [ ] `GET /v1/me` requires valid JWT - [ ] Response: `{ id, email, displayName, avatarUrl, tenantId?, role?, createdAt }` - [ ] Data fetched via `ProfileRepository` — not raw Supabase in route - [ ] 404 if profile missing (should not happen post-trigger; log as error) - [ ] Response schema validated/exported for gateway consumers","EMX-AUTH-013, EMX-AUTH-006","EMX-AUTH-030"
"Session management and token refresh with Redis","Story","High","8","EMX-EPIC-AUTH","redis, sessions, auth-service","Implement session tracking and optional refresh-token proxy. Use Redis for session metadata, revocation list, and refresh token rotation coordination with Supabase Auth.","- [ ] Redis client in auth-service infrastructure (connection from `REDIS_URL`) - [ ] On login: session record keyed by `userId:sessionId` with TTL aligned to JWT expiry - [ ] `POST /v1/auth/refresh` accepts refresh token; returns new access token (if BFF pattern) - [ ] Revoked sessions rejected even if JWT not yet expired (denylist in Redis) - [ ] Graceful Redis failure behavior documented (fail closed for revocation check) - [ ] Session audit events written to `auth_audit_log`","EMX-AUTH-013, EMX-AUTH-011","EMX-AUTH-017, EMX-AUTH-026"
"Logout and global session revocation","Story","Medium","5","EMX-EPIC-AUTH","auth-service, security","Allow users to log out current session or all sessions. Invalidate refresh tokens via Supabase Admin API and Redis revocation list.","- [ ] `POST /v1/auth/logout` — revokes current session - [ ] `POST /v1/auth/logout-all` — revokes all user sessions (optional v1.1) - [ ] Supabase `signOut` / admin session invalidation called where applicable - [ ] Redis revocation updated; subsequent requests with old access token rejected at gateway - [ ] Audit log entry for logout events - [ ] PostHog `user_logged_out` event emitted (EMX-AUTH-026)","EMX-AUTH-016","EMX-AUTH-026, EMX-AUTH-030"
"Gateway auth plugin and authenticated request forwarding","Story","Highest","5","EMX-EPIC-AUTH","api-gateway, jwt","Add authentication middleware to `api-gateway` using `@emx/auth`. Verify JWT once at the edge; forward trusted internal headers to downstream services (e.g. `x-user-id`, `x-tenant-id`) or re-validate per service based on threat model.","- [ ] Auth plugin applied to `/v1/*` protected routes - [ ] Invalid/expired token → 401 with standard error body - [ ] Valid token → `request.user` available; optional signed internal headers to auth-service - [ ] Public routes: `/health`, `/v1/auth/*` signup/login if exposed through gateway - [ ] Gateway does **not** hold service role key - [ ] Correlation ID propagated (`x-request-id`)","EMX-AUTH-012, EMX-AUTH-013","EMX-AUTH-019, EMX-AUTH-020, EMX-AUTH-030"
"Rate limiting auth endpoints with Redis","Story","High","5","EMX-EPIC-AUTH","redis, api-gateway, security","Protect auth endpoints from brute force and abuse using Redis-backed rate limiting at the api-gateway (and optionally auth-service).","- [ ] Rate limit on: login, signup, refresh, password reset proxy — e.g. 10 req/min/IP - [ ] Stricter limit on failed login attempts per email - [ ] 429 response with `Retry-After` header - [ ] Limits configurable via env (`RATE_LIMIT_*`) - [ ] Redis shared instance from docker-compose / Doppler - [ ] Structured log on limit exceeded (no PII in logs)","EMX-AUTH-018, EMX-AUTH-011","EMX-AUTH-014"
"Unified auth error responses and API contract","Task","Medium","3","EMX-EPIC-AUTH","api-gateway, dx","Standardize auth-related HTTP errors across gateway and auth-service for predictable client handling.","- [ ] Error shape: `{ error: { code: string, message: string, details?: unknown } }` - [ ] Codes defined: `AUTH_INVALID_TOKEN`, `AUTH_EXPIRED_TOKEN`, `AUTH_MISSING_TOKEN`, `AUTH_FORBIDDEN`, `AUTH_RATE_LIMITED` - [ ] Shared error mapper in `@emx/validation` or `@emx/auth` - [ ] No stack traces or Supabase internals in responses - [ ] Documented in ticket folder or API reference for frontend team","EMX-AUTH-018","EMX-AUTH-030"
"Roles and permissions database schema","Story","High","5","EMX-EPIC-AUTH","rbac, postgres, sql","Extend auth schema with role-based access control: roles, permissions, and role assignments scoped to tenant or global.","- [ ] Tables: `roles`, `permissions`, `role_permissions`, `user_roles` (or enum on `tenant_memberships`) - [ ] Seed permissions: `profile:read`, `profile:write`, `tenant:admin`, `user:invite` - [ ] Default roles: `member`, `admin`, `owner` - [ ] RLS on RBAC tables: users see only roles within their tenant - [ ] Migration + seed for dev environment - [ ] Custom JWT claim `app_role` syncs with assignment (via EMX-AUTH-008)","EMX-AUTH-004, EMX-AUTH-005","EMX-AUTH-022, EMX-AUTH-023"
"Authorization middleware and permission helpers","Story","High","8","EMX-EPIC-AUTH","rbac, auth-service","Application-layer authorization in auth-service (and reusable in `@emx/auth`): `requirePermission()`, `requireRole()`, and use-case-level checks.","- [ ] `authorize(permission: Permission): preHandler` Fastify hook - [ ] `hasPermission(user, permission): boolean` pure function for use cases - [ ] Permissions loaded from JWT claims first; DB fallback for sensitive ops - [ ] 403 with `AUTH_FORBIDDEN` when denied - [ ] At least one sample protected route: `PATCH /v1/me` requires `profile:write` - [ ] Unit tests for permission matrix","EMX-AUTH-021, EMX-AUTH-012, EMX-AUTH-008","EMX-AUTH-023, EMX-AUTH-030"
"Admin APIs for role assignment","Story","Medium","5","EMX-EPIC-AUTH","rbac, rest-api","REST endpoints for tenant admins to invite users and assign roles. Validates caller has `tenant:admin` or `user:invite` permission.","- [ ] `POST /v1/tenants/:tenantId/members` — invite/add member with role - [ ] `PATCH /v1/tenants/:tenantId/members/:userId` — update role - [ ] `DELETE /v1/tenants/:tenantId/members/:userId` — remove member - [ ] All endpoints require admin permission - [ ] Triggers JWT claim refresh on role change (re-login or token refresh) - [ ] Audit log entries for role changes","EMX-AUTH-022","none"
"Auth webhook handler for user lifecycle events","Story","High","5","EMX-EPIC-AUTH","edge-functions, deno, webhooks","Deploy a Supabase Edge Function to handle Auth webhooks (`user.created`, `user.updated`, `user.deleted`). Sync external systems, emit analytics events, and handle edge cases the DB trigger cannot cover.","- [ ] Edge Function at `supabase/functions/auth-webhook/index.ts` - [ ] Verifies webhook signature / secret from Supabase Auth hooks config - [ ] Handles `user.created`: confirm profile exists; emit PostHog `user_signed_up` (server-side) - [ ] Handles `user.deleted`: cleanup external references if any - [ ] Uses npm-specifier imports: `npm:@supabase/supabase-js@2`, `npm:zod@3` - [ ] Deployed to dev/staging/prod via Supabase CLI in CI (EMX-AUTH-028) - [ ] Idempotent processing; safe to retry - [ ] Structured JSON logs; no PII in log messages","EMX-AUTH-006, EMX-AUTH-002","EMX-AUTH-025, EMX-AUTH-026"
"Custom access token hook Edge Function","Story","High","8","EMX-EPIC-AUTH","edge-functions, deno, jwt","Implement Supabase **Custom Access Token Hook** as a Deno Edge Function. Inject `tenant_id` and `app_role` claims into JWTs at issuance time by querying `tenant_memberships` / `user_roles`.","- [ ] Edge Function at `supabase/functions/custom-access-token/index.ts` - [ ] Registered as Auth hook: ""Customize Access Token"" - [ ] Reads user ID from hook payload; fetches tenant + role from Postgres via service client - [ ] Returns modified claims object merged with defaults - [ ] Latency under 200ms p95 (hook runs on every token issue) - [ ] On DB error: fail closed — do not grant elevated claims - [ ] Unit tests with mocked Supabase client where possible - [ ] Claims documented and match EMX-AUTH-008 schema","EMX-AUTH-008, EMX-AUTH-021, EMX-AUTH-024","EMX-AUTH-005, EMX-AUTH-022"
"PostHog auth event schema and server-side instrumentation","Story","Medium","5","EMX-EPIC-AUTH","posthog, analytics, observability","Define and implement server-side PostHog event instrumentation for the auth funnel. Events emitted from auth-service and Edge Functions — not only client-side — for reliable funnel metrics.","- [ ] PostHog project key stored in Doppler (`POSTHOG_API_KEY`, `POSTHOG_HOST`) - [ ] Event schema documented:  / Event / Properties / Source / /-------/------------/--------/ / `user_signed_up` / `method`, `tenant_id?` / Edge webhook / auth-service / / `user_logged_in` / `method`, `session_id` / auth-service / / `user_logged_out` / `session_id` / auth-service / / `auth_login_failed` / `reason`, `method` / auth-service / gateway / / `email_verified` / — / Edge webhook / / `password_reset_requested` / — / auth-service or client /  - [ ] `distinct_id` = Supabase `user.id` (UUID) - [ ] No passwords, tokens, or raw emails in event properties - [ ] `@emx/analytics` package or module with typed `trackAuthEvent()` helper - [ ] Feature flag hook prepared: `posthog.isFeatureEnabled()` for gradual auth rollout (optional)","EMX-AUTH-014, EMX-AUTH-017, EMX-AUTH-024","EMX-AUTH-027"
"Auth funnel metrics and dashboard definitions","Task","Medium","3","EMX-EPIC-AUTH","posthog, analytics, product","Define auth funnel metrics, PostHog insights, and success criteria. Align with GA4 conversion events where applicable (frontend team).","- [ ] Funnel defined: `user_signed_up` → `email_verified` → `user_logged_in` → first API call - [ ] PostHog insight/dashboard created for auth conversion rates - [ ] Drop-off alerts documented (e.g. signup without verify within 24h) - [ ] A/B test readiness: feature flag `auth-flow-v2` stub documented - [ ] GA4 event mapping table (client-side): `sign_up`, `login` via GTM dataLayer spec shared with frontend - [ ] GTM consent mode: auth events respect consent state (document interaction)","EMX-AUTH-026","none"
"GitHub Actions: database migrations and auth CI pipeline","Story","High","5","EMX-EPIC-AUTH","github-actions, ci, supabase","Extend existing `.github/workflows/ci.yml` with auth-specific checks: Supabase migration validation, Edge Function lint/deploy to staging, and integration test job.","- [ ] CI job: `pnpm typecheck`, `pnpm lint` (existing) includes new packages - [ ] CI job: validate SQL migrations (`supabase db lint` or dry-run against local/ephemeral DB) - [ ] CI job: deploy Edge Functions to staging on merge to `main` (Supabase CLI + token from Doppler/GitHub secret) - [ ] CI job: run auth integration tests (EMX-AUTH-030) against test Supabase project - [ ] Doppler or GitHub Secrets for: `SUPABASE_ACCESS_TOKEN`, `SUPABASE_PROJECT_ID_STAGING` - [ ] Migration failures block merge - [ ] No secrets in workflow logs","EMX-AUTH-003, EMX-AUTH-010, EMX-AUTH-002","EMX-AUTH-029, EMX-AUTH-030"
"Deploy auth-service and api-gateway with environment separation","Story","High","8","EMX-EPIC-AUTH","devops, docker, doppler, deployment","Production deployment pipeline for auth-service and api-gateway with dev/staging/production separation. Secrets from Doppler; container images from multi-stage Dockerfiles; health/readiness probes.","- [ ] GitHub Actions deploy workflow: build → push image → deploy (target TBD: Railway/Fly/K8s — document choice) - [ ] Vercel hosts frontend only; backend deploy target documented (not Vercel serverless for Fastify) - [ ] Doppler configs inject env per environment at deploy time - [ ] Readiness probe checks: Postgres connectivity, Redis connectivity - [ ] `/health` liveness vs `/ready` readiness endpoints - [ ] DNS configured for staging API (`api.staging.emx...`) and prod (`api.emx...`) - [ ] Rollback procedure documented - [ ] docker-compose dev parity verified with Doppler `dev` config","EMX-AUTH-028, EMX-AUTH-013, EMX-AUTH-018","EMX-AUTH-030"
"Auth integration and E2E test suite","Story","High","8","EMX-EPIC-AUTH","testing, qa, e2e","Comprehensive test suite covering the full auth flow: signup → verify → login → `/v1/me` → refresh → logout → RBAC denial. Runs in CI against test Supabase project.","- [ ] Test framework: Vitest or Node test runner with supertest/fetch against Fastify - [ ] Test scenarios:   - [ ] Sign up new user (Supabase Auth API or service endpoint)   - [ ] Profile auto-created in `public.profiles`   - [ ] Login returns valid JWT with expected claims   - [ ] `GET /v1/me` via gateway returns profile   - [ ] Invalid token → 401 with `AUTH_INVALID_TOKEN`   - [ ] Expired token → 401 with `AUTH_EXPIRED_TOKEN`   - [ ] Rate limit triggers 429 on repeated failed logins   - [ ] Logout revokes session; subsequent request fails   - [ ] User without `profile:write` denied on `PATCH /v1/me`   - [ ] RLS: user A cannot read user B profile via direct Supabase client - [ ] Tests run in CI (EMX-AUTH-028) on every PR touching auth - [ ] Test users cleaned up after suite (or isolated test project) - [ ] Coverage report for `@emx/auth` and auth-service application layer","EMX-AUTH-015, EMX-AUTH-017, EMX-AUTH-018, EMX-AUTH-020, EMX-AUTH-022, EMX-AUTH-029","none (epic completion gate)"
